Station ID#,Name,Basin,Catchment area (km2),Latitude,Longitude,Station elevation (m.a.s.l.),Start year,End year,Continuous permafrost (%),Discontinuous permafrost (%),Sporadic permafrost (%),Isolated permafrost (%),No permafrost (%),Primary permafrost type,Prior primary permafrost type
9425,Turukhan at Yanov Stan,Yenisei,9282.00,65.98,84.27,11.9,1941,1999,0.2,99.8,0,0,0,Discontinuous,Discontinuous
9431,Graviyka at Igarka,Yenisei,293.00,67.5,86.6,38.9,1938,1992,100,0,0,0,0,Continuous,
9455,Norilka at Valek,Yenisei,19718.00,69.42,88.32,27,1961,1999,100,0,0,0,0,Continuous,
10062,Chulyshman at Balukhuca,Ob,16574.00,51.28,87.72,435.1,1938,2002,28.7,55.9,15.4,0,0,Discontinuous,Sporadic
10066,Katun' at Tyungur,Ob,13661.00,50.13,86.32,845.6,1956,2003,7.2,27.9,57.2,0,7.7,Sporadic,Continuous
10117,Peschanaya at Tochil'noye,Ob,4733.00,52.17,85.17,181.7,1936,2002,0,4.3,48,0,47.7,Sporadic,
10126,Charysh at Ust'-Kumir,Ob,3499.00,51.02,84.32,719.3,1933,2002,0,1,25.2,0,73.8,No permafrost,Sporadic
10176,Chumish at Zarinsk,Ob,15900.00,53.73,84.95,160.3,1954,2002,0,0,0,0,100,No permafrost,No permafrost
10219,Inya (Nyzhnyaya) at Kaily,Ob,15700.00,55.32,84.1,119.2,1932,2002,0,0,0,0,100,No permafrost,No permafrost
10259,Usa at Mezhdurechensk,Ob,3327.00,53.68,88.08,240,1938,2000,0,0,0,53.6,46.4,Isolated,
10277,Kondoma at Kuzedeevo,Ob,7142.00,53.33,87.23,225.2,1937,2002,0,0,0,5.6,94.4,No permafrost,No permafrost
10317,Chulym at Balakhta,Ob,14734.00,55.38,91.62,293.1,1939,2003,0,0,0,66.2,33.8,Isolated,No permafrost
10387,Kiya at Marizhinsk,Ob,10339.00,56.2,87.78,119.6,1937,2002,0,0,0,14.7,85.3,No permafrost,No permafrost
10407,Yaya at Yaya,Ob,3438.00,56.18,86.4,130.4,1935,2003,0,0,0,0,100,No permafrost,No permafrost
10428,Chaya at Podgoenoye,Ob,25000.00,57.78,82.63,60.7,1938,2002,0,0,0,0,100,No permafrost,No permafrost
10444,Iksa at Plotnikovo,Ob,2560.00,56.85,83.07,99,1933,2002,0,0,0,0,100,No permafrost,No permafrost
10466,Paidugina at Berezovka,Ob,6655.00,59.37,82.83,72.8,1955,2003,0,0,0,88.9,11.1,Isolated,No permafrost
